call_pc,caller_label,call,p1_pc,p1_value,a_pc,a_value
003C,L0037,LCALL L03CC,0037,4E,003A,1E
0044,L0037,LCALL L03CC,0041,6E,003F,4E
004C,L0037,LCALL L03CC,0049,5E,0047,0E
0054,L0037,LCALL L03CC,0051,4F,004F,0DF
0061,L0037,LCALL L03CC,005C,6F,005F,0AF
0069,L0037,LCALL L03CC,0064,7F,0067,0F
0615,L0610,AJMP L03CC,0612,0AF,0610,4F
061C,L0617,AJMP L03CC,0619,0EF,0617,0BF
0639,L0639,ACALL L03CC,,,,
064A,L064A,ACALL L03CC,,,,
065A,L0653,ACALL L03CC,0655,0EF,0658,7F
0662,L065D,ACALL L03CC,065D,0BF,0660,2F
0672,L066D,ACALL L03CC,066D,0FF,0670,0DF
067A,L0675,ACALL L03CC,0675,0AF,0678,8F
0682,L067D,ACALL L03CC,067D,0BF,0680,1F
068A,L0685,ACALL L03CC,0685,0FF,0688,0EF
167E,L1673,LCALL L03CC,1679,0CF,167C,7F
2B78,L2B70,LCALL L03CC,2B73,8F,2B76,8F
3BA9,L3BA2,LCALL L03CC,3BA4,0CF,3BA7,0DF
4705,L4700,LCALL L03CC,4700,8E,4703,4E
470E,L4709,LCALL L03CC,4709,0CE,470C,0BE
471A,L4712,LCALL L03CC,4715,8F,4718,2F
4727,L4720,LCALL L03CC,4720,0CF,4723,0DF
472F,L472B,LJMP L03CC,,,472B,0BE
4737,L4732,LJMP L03CC,4734,0EE,4732,0DE
473F,L473A,LJMP L03CC,473C,0AE,473A,2E
4747,L4742,LJMP L03CC,4744,0AE,4742,4E
4762,L475D,LCALL L03CC,475D,8F,4760,4F
4775,L4770,LCALL L03CC,4770,8F,4773,4F
4DFB,L4DE5,LCALL L03CC,4DF6,8E,4DF9,1E
4E0E,L4E01,LCALL L03CC,4E09,0CE,4E0C,0EE
4F0B,L4F00,LCALL L03CC,4F06,0CF,4F09,9F
4FE0,L4FD9,LCALL L03CC,4FDD,0CE,4FDB,7E
4FF4,L4FD9,LCALL L03CC,4FEF,8E,4FF2,1E
518A,L5184,LCALL L03CC,5187,8E,5185,8E
5192,L5184,LCALL L03CC,518F,0CE,518D,7E
544E,L5449,LCALL L03CC,5449,0CE,544C,0EE
547D,L5470,LCALL L03CC,5478,8E,547B,1E
55D0,L55CB,LCALL L03CC,55CB,0EF,55CE,7F
55DB,L55D4,LCALL L03CC,55D6,0AF,55D9,4F
55E4,L55DF,LCALL L03CC,55DF,0EF,55E2,0BF
55ED,L55E8,LCALL L03CC,55E8,0AF,55EB,8F
55FC,L55F7,LCALL L03CC,55F7,0EF,55FA,0DF
5605,L5600,LCALL L03CC,5600,0AF,5603,2F
57DA,L57D5,LCALL L03CC,57D5,8F,57D8,2F
593C,L5937,LCALL L03CC,5939,0EE,5937,7E
5944,L593F,LCALL L03CC,5941,5E,593F,0E
594D,L5948,LCALL L03CC,594A,0AE,5948,8E
5960,L5948,LCALL L03CC,595D,5E,,
5969,L5964,LCALL L03CC,5966,0EE,5964,7E
5971,L5964,LCALL L03CC,596E,5E,596C,0FE
